Gene names;LFQ intensity BUL_103;LFQ intensity BUL_30;LFQ intensity BUL_40;LFQ intensity BUL_47;LFQ intensity BUL_48;LFQ intensity BUL_5;LFQ intensity BUL_82;LFQ intensity BUL_90;LFQ intensity BUL_91;LFQ intensity MUL_11;LFQ intensity MUL_12;LFQ intensity MUL_22;LFQ intensity MUL_33;LFQ intensity MUL_54;LFQ intensity MUL_61;LFQ intensity MUL_78;LFQ intensity UL_1;LFQ intensity UL_15;LFQ intensity UL_21;LFQ intensity UL_34;LFQ intensity UL_4;LFQ intensity UL_50;LFQ intensity UL_51;LFQ intensity UL_6;Razor + unique peptides;Unique peptides;Q-value;Score;Intensity;MS/MS count;Protein IDs;Majority protein IDs;Protein names;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
A1BG;25.39842;28.04843;24.33402;26.15509;25.64636;24.25933;25.55979;26.66506;26.2003;25.60179;27.32157;25.25965;25.32385;27.83641;24.80169;25.89915;25.54581;24.69806;24.77264;22.64568;24.95082;27.6489;28.60601;26.43344;23;23;0;323.31;16204000000;546;"P04217;P04217-2;M0R009;CON__Q2KJF1";"P04217;P04217-2;M0R009";Alpha-1B-glycoprotein;;;;;;;;;;;;
A2M;26.66044;29.83939;25.49622;29.6653;26.88064;28.40868;27.53118;28.22246;27.04187;28.18702;27.65758;27.76281;28.01914;29.10792;27.21725;30.93881;26.51979;26.11896;25.88372;26.24799;27.51841;30.53816;32.10181;27.51352;92;78;0;323.31;96529000000;2127;"P01023;F8W7L3;H0YFH1;F5H1E8";P01023;Alpha-2-macroglobulin;;;;;;;;;;;;
AARS;23.51749;24.725;23.27213;18.98055;22.68656;23.1421;23.75664;22.7541;23.10591;23.29796;23.40328;22.01556;23.81059;23.0447;23.95038;21.81972;22.60657;23.78237;22.55892;23.75918;23.77042;21.58279;17.86991;22.48279;36;36;0;159.71;2691200000;245;"P49588;P49588-2;H3BPK7";"P49588;P49588-2";Alanine--tRNA ligase, cytoplasmic;;;;;;;;;;;;
ABCE1;22.38195;21.4001;22.20973;19.4373;21.88852;20.98245;21.07914;20.36837;21.28664;21.55103;21.57191;22.09722;22.8442;21.66627;24.20075;21.50426;21.09976;22.54715;21.9668;22.07496;22.7725;20.40083;17.08785;21.61957;24;24;0;74.576;1376000000;94;"P61221;D6R9I9;D6RGF4;H0Y990";"P61221;D6R9I9";ATP-binding cassette sub-family E member 1;;;;;;;;;;;;
ABCF1;20.65106;18.52887;19.87752;20.06988;20.69693;18.03537;20.9502;18.60813;19.38435;19.35089;19.1658;21.89041;21.28985;19.06708;23.18871;18.6699;18.77671;20.54198;20.37348;21.67155;21.19898;18.64231;16.64991;19.12825;18;18;0;139.05;577580000;68;"Q8NE71;Q8NE71-2;H0YGW7;A0A0G2JIC2;Q5STZ8;F5GYK6";"Q8NE71;Q8NE71-2;H0YGW7";ATP-binding cassette sub-family F member 1;;;;;;;;;;;;
ABHD14B;23.94708;25.35803;23.89171;23.32896;24.13485;23.28673;23.73221;24.09965;23.78307;24.6049;23.97832;21.85209;23.83229;23.60885;24.99546;23.87671;23.38877;23.25126;24.8208;21.51123;22.34565;21.75295;18.16472;22.51391;10;10;0;165.25;4349400000;229;"Q96IU4;F8W9U3;B4DQI4;Q96IU4-2";"Q96IU4;F8W9U3;B4DQI4";Alpha/beta hydrolase domain-containing protein 14B;;;;;;;;;;;;
ABI1;22.80967;19.56752;22.45669;21.12136;22.49685;18.58289;22.51191;22.09645;21.92151;21.25171;20.38974;23.27696;22.27011;22.30927;23.57542;22.69345;23.22748;21.18592;22.25883;22.90892;22.57231;21.58183;18.08265;22.01335;19;13;0;277.72;1798500000;121;"Q8IZP0;Q8IZP0-3;Q8IZP0-2;B6VEX4;A0A0A0MRT6;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0-12;Q8IZP0-11";"Q8IZP0;Q8IZP0-3;Q8IZP0-2;B6VEX4;A0A0A0MRT6;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0-12;Q8IZP0-11";Abl interactor 1;;;;;;;;;;;;
ABR;19.92877;18.04529;21.20985;17.5265;20.13295;18.52341;19.86704;18.74314;19.77881;19.77422;19.47357;19.43526;19.71943;19.7276;18.60592;20.20991;20.35907;20.24226;20.23608;20.4207;19.77114;17.17219;15.4085;19.68806;10;10;0;18.928;334580000;28;"Q12979;Q12979-2;A0A0G2JQ41;Q12979-4;B7Z683;I3L2P5;Q12979-3;A0A0G2JRJ1;I3L3W0;I3L1U8;I3NI05;A0A0G2JSE0;A0A0D9SGD7;A0A0G2JQT5;I3L379;I3L4Y1;I3L0R7";"Q12979;Q12979-2;A0A0G2JQ41;Q12979-4;B7Z683";Active breakpoint cluster region-related protein;;;;;;;;;;;;
ACADVL;23.40912;20.12199;22.55173;21.38506;22.7297;21.82073;20.8101;22.58708;22.97729;19.63844;21.14264;23.37849;23.68656;21.33505;25.27778;21.67994;20.36688;23.35474;20.94835;21.52502;23.44304;20.92042;19.00794;21.54137;30;30;0;77.381;2082900000;133;"P49748;P49748-3;P49748-2;G3V1M7;J3QRJ8;K7EQP4;J3KSR4;K7EJW8;J3KS89;J3QKU9;K7EMF8";"P49748;P49748-3;P49748-2";Very long-chain specific acyl-CoA dehydrogenase, mitochondrial;;;;;;;;;;;;
ACAP2;20.6044;19.46165;20.05775;20.32839;20.86507;20.49443;20.5721;19.46969;19.64503;19.57347;21.82443;20.31318;21.01161;20.19244;20.74501;19.27381;21.09081;20.81057;20.10951;21.32948;20.37655;20.36285;17.62444;20.50261;16;16;0;24.883;329020000;41;"Q15057;A0A087X1H5;A0A0U1RQT1;H7C3Q8;H7C3K3;Q96P50;Q96P50-4;Q96P50-1;C9J8L1";"Q15057;A0A087X1H5;A0A0U1RQT1";Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2;;;;;;;;;;;;
